AvgTurnTime,CompleteCityScore,CompleteMonasteryScore,CompleteRoadScore,Draw,FarmScore,FixtureSet,Game,IncompleteCityScore,IncompleteMonasteryScore,IncompleteRoadScore,Loss,MeepleFeatures,MeepleTurns,MeeplesPlayed,Opponent,OpponentScore,Player,PlayerScore,Result,Turns,Win
60.19603235854043,32,0,12,0,0,1,26,16,16,4,1,"['R', 'C', 'C', 'R', 'C', 'Monastery', 'R', 'R', 'C', 'G', 'Monastery', 'R', 'C', 'C']","[1, 2, 3, 4, 6, 7, 8, 13, 15, 19, 20, 26, 34, 35]",14,M_RAVE,88,GP_MCTS,80,2,36,0
16.724558192330438,12,9,17,0,12,1,27,24,0,0,1,"['G', 'C', 'R', 'G', 'R', 'C', 'C', 'C', 'R', 'Monastery', 'G', 'C']","[1, 2, 3, 6, 7, 8, 9, 18, 24, 25, 28, 36]",12,GP_MCTS,81,M_RAVE,74,2,37,0
58.079725907908546,18,9,12,0,21,1,27,8,8,5,0,"['C', 'G', 'R', 'R', 'Monastery', 'G', 'C', 'C', 'C', 'R', 'G', 'C', 'G', 'R', 'Monastery']","[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 23, 24, 27, 34]",15,M_RAVE,74,GP_MCTS,81,1,36,1
17.105273259652627,8,18,5,0,9,1,28,11,0,14,1,"['C', 'R', 'C', 'G', 'Monastery', 'R', 'C', 'C', 'Monastery', 'R', 'G', 'G', 'C']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 18, 25]",13,GP_MCTS,95,M_RAVE,65,2,37,0
55.99723981486425,46,0,12,0,21,1,28,14,0,2,0,"['R', 'R', 'C', 'C', 'G', 'C', 'R', 'C', 'R', 'G', 'C', 'C', 'G', 'R']","[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 23, 27, 28, 35]",14,M_RAVE,65,GP_MCTS,95,1,36,1
17.030655416282446,16,0,9,0,18,1,29,15,0,2,1,"['C', 'R', 'C', 'G', 'C', 'C', 'R', 'G', 'G', 'R', 'C']","[1, 2, 3, 4, 5, 8, 9, 10, 11, 18, 21]",11,GP_MCTS,65,M_RAVE,60,2,37,0
58.763938698503715,16,0,7,0,15,1,29,16,8,3,0,"['C', 'C', 'G', 'R', 'R', 'R', 'Monastery', 'C', 'C', 'G']","[1, 2, 3, 5, 6, 7, 8, 10, 17, 26]",10,M_RAVE,60,GP_MCTS,65,1,36,1
17.068422046867582,4,0,7,0,6,1,30,21,15,14,1,"['Monastery', 'C', 'R', 'R', 'C', 'G', 'R', 'C', 'R', 'Monastery']","[1, 2, 3, 4, 5, 6, 7, 8, 10, 29]",10,GP_MCTS,95,M_RAVE,67,2,37,0
60.52835032675002,36,0,5,0,24,1,30,14,8,8,0,"['C', 'C', 'R', 'C', 'C', 'C', 'G', 'C', 'Monastery', 'G', 'R', 'C', 'R']","[1, 2, 3, 4, 5, 6, 7, 9, 13, 15, 29, 30, 31]",13,M_RAVE,67,GP_MCTS,95,1,36,1
0.0006813423053638356,0,0,0,0,9,2,1,0,14,3,1,"['R', 'G', 'G', 'G', 'Monastery', 'Monastery', 'R']","[2, 5, 7, 9, 10, 12, 13]",7,M_RAVE,122,Random,26,2,37,0
17.769995715883038,48,0,25,0,21,2,1,18,6,4,0,"['C', 'C', 'R', 'C', 'Monastery', 'C', 'R', 'G', 'R', 'C', 'R', 'G', 'C', 'C', 'R', 'R', 'C', 'R']","[1, 2, 3, 4, 5, 6, 7, 8, 11, 18, 19, 20, 21, 22, 24, 29, 31, 33]",18,Random,26,M_RAVE,122,1,36,1
0.0005851887367867135,0,0,0,0,3,2,2,0,13,3,1,"['Monastery', 'R', 'G', 'G', 'R', 'Monastery', 'G']","[1, 2, 3, 4, 5, 7, 9]",7,M_RAVE,90,Random,19,2,37,0
